agency_name,fiscal_year,total_budget
DEPARTMENT OF HEALTH AND MENTAL HYGIENE,2020,1878148868
DEPARTMENT OF HOMELESS SERVICES,2020,2141767161
DEPARTMENT OF INFO TECH & TELECOMM,2020,743198360
DEPARTMENT OF INVESTIGATION,2020,55251164
DEPARTMENT OF JUVENILE JUSTICE,2020,0
DEPARTMENT OF MENTAL HEALTH,2020,0
DEPARTMENT OF PARKS AND RECREATION,2020,585819571
DEPARTMENT OF PROBATION,2020,124679831
DEPARTMENT OF RECORDS & INFORMATION SVS,2020,10538353
DEPARTMENT OF SANITATION,2020,1768551748
DEPARTMENT OF SMALL BUSINESS SERVICES,2020,292917297
DEPARTMENT OF SOCIAL SERVICES,2020,10200550464
DEPARTMENT OF TRANSPORTATION,2020,1061111591
DEPARTMENT OF VETERANS' SERVICES,2020,5402344
DEPARTMENT OF YOUTH & COMMUNITY DEV,2020,907348122
DISTRICT ATTORNEY BRONX COUNTY,2020,83619793
DISTRICT ATTORNEY KINGS COUNTY,2020,111511818
DISTRICT ATTORNEY NEW YORK COUNTY,2020,131814061
DISTRICT ATTORNEY QUEENS COUNTY,2020,72462532
DISTRICT ATTORNEY RICHMOND COUNTY,2020,16952917
DISTRICTING COMMISSION,2020,0
EQUAL EMPLOYMENT PRACTICES COMMISSION,2020,1177475
FINANCIAL INFORMATION SERVICE AGENCY,2020,112523946
FIRE DEPARTMENT,2020,2141934264
HEALTH AND HOSPITALS CORP,2020,1030456504
HOUSING PRESERVATION AND DEVELOPMENT,2020,1364814160
INDEPENDENT BUDGET OFFICE,2020,5796126
LANDMARKS PRESERVATION COMM.,2020,6799668
LAW DEPARTMENT,2020,260667391
MANHATTAN COMMUNITY BOARD #1,2020,449725
MANHATTAN COMMUNITY BOARD #10,2020,408208
MANHATTAN COMMUNITY BOARD #11,2020,367338
MANHATTAN COMMUNITY BOARD #12,2020,445374
MANHATTAN COMMUNITY BOARD #2,2020,432692
MANHATTAN COMMUNITY BOARD #3,2020,433289
MANHATTAN COMMUNITY BOARD #4,2020,423818
MANHATTAN COMMUNITY BOARD #5,2020,375918
MANHATTAN COMMUNITY BOARD #6,2020,565355
MANHATTAN COMMUNITY BOARD #7,2020,382884
MANHATTAN COMMUNITY BOARD #8,2020,490068
MANHATTAN COMMUNITY BOARD #9,2020,425796
MAYORALTY,2020,153155657
MISCELLANEOUS,2020,10166451640
