agency_name,responsibility_center_name,fiscal_year,total_budget
DEPARTMENT OF DESIGN & CONSTRUCTION,EXECUTIVE,2017,36505348
DEPARTMENT OF DESIGN & CONSTRUCTION,INFRASTRUCTURE,2017,36444711
DEPARTMENT OF DESIGN & CONSTRUCTION,STRUCTURES,2017,26892828
DEPARTMENT OF DESIGN & CONSTRUCTION,TECHNICAL SUPPORT,2017,6884806
DEPARTMENT OF DESIGN & CONSTRUCTION,,2017,487631759
DEPARTMENT OF EDUCATION,,2017,22242644637
DEPARTMENT OF EMERGENCY MANAGEMENT,ADMINISTRATION,2017,16908156
DEPARTMENT OF EMERGENCY MANAGEMENT,,2017,33640621
DEPARTMENT OF ENVIRONMENTAL PROTECT.,ACCO,2017,4951234
DEPARTMENT OF ENVIRONMENTAL PROTECT.,AIR NOISE AND HAZ MATERIALS,2017,30084895
DEPARTMENT OF ENVIRONMENTAL PROTECT.,CUSTOMER & CONSERVATION SERV,2017,49722021
DEPARTMENT OF ENVIRONMENTAL PROTECT.,ENGINEERING AUDITS,2017,2066107
DEPARTMENT OF ENVIRONMENTAL PROTECT.,ENVIORNMENTAL ASSESSMENT,2017,10013516
DEPARTMENT OF ENVIRONMENTAL PROTECT.,ENVIORNMENTAL ENGINEERING,2017,32960666
DEPARTMENT OF ENVIRONMENTAL PROTECT.,ENVIRONMENTAL HEALTH AND SAFETY,2017,16928211
DEPARTMENT OF ENVIRONMENTAL PROTECT.,EXECUTIVE + SUPPORT,2017,27287237
DEPARTMENT OF ENVIRONMENTAL PROTECT.,FLEET ADMINISTRATION,2017,8401415
DEPARTMENT OF ENVIRONMENTAL PROTECT.,GIARDIA SURVEILANCE,2017,288643
DEPARTMENT OF ENVIRONMENTAL PROTECT.,HUMAN RESOURCES MGMT,2017,3204912
DEPARTMENT OF ENVIRONMENTAL PROTECT.,LEGAL AND LEGISLATIVE AFFAIRS,2017,23745112
DEPARTMENT OF ENVIRONMENTAL PROTECT.,MANAGEMENT AND BUDGET,2017,40727724
DEPARTMENT OF ENVIRONMENTAL PROTECT.,PUBLIC AFFAIRS,2017,2274095
DEPARTMENT OF ENVIRONMENTAL PROTECT.,WASTEWATER POLLUTION CONTROL,2017,427798877
DEPARTMENT OF ENVIRONMENTAL PROTECT.,WATER AND SEWER OPERATIONS SYS,2017,155635220
DEPARTMENT OF ENVIRONMENTAL PROTECT.,WATER BOARD,2017,861414
DEPARTMENT OF ENVIRONMENTAL PROTECT.,WATER SUPPLY QUALITY PROTECT,2017,347128026
DEPARTMENT OF ENVIRONMENTAL PROTECT.,,2017,234303917
DEPARTMENT OF FINANCE,ADMINISTRATION,2017,45350882
DEPARTMENT OF FINANCE,ASSESSMENTS,2017,871054
DEPARTMENT OF FINANCE,AUDIT,2017,4492599
DEPARTMENT OF FINANCE,CITY COLLECTOR,2017,411811
DEPARTMENT OF FINANCE,CITY REGISTER,2017,4471709
DEPARTMENT OF FINANCE,CITY SHERIFF,2017,17128003
DEPARTMENT OF FINANCE,ENFORCEMENT,2017,5814879
DEPARTMENT OF FINANCE,EXECUTIVE,2017,15546953
DEPARTMENT OF FINANCE,LEGAL AFFAIRS,2017,5894531
DEPARTMENT OF FINANCE,MANAGEMENT INFORMATION SERVICE,2017,25506835
DEPARTMENT OF FINANCE,PARKING VIOLATIONS OPERATIONS,2017,447464
DEPARTMENT OF FINANCE,PROCESSING,2017,766556
DEPARTMENT OF FINANCE,PROPERTY EXECUTIVE,2017,12587118
DEPARTMENT OF FINANCE,REVENUE OPERATIONS COLLECTIONS,2017,6471213
DEPARTMENT OF FINANCE,REVENUE OPERATIONS EXECUTIVE,2017,6138641
DEPARTMENT OF FINANCE,REVIEW AND SUPPORT,2017,260304
DEPARTMENT OF FINANCE,REV OP BUSINESS TAX REVENUE,2017,955184
DEPARTMENT OF FINANCE,REV OPER REVENUE ACCOUNTING,2017,5244405
DEPARTMENT OF FINANCE,TAX PAYER COMPLIANCE,2017,11521283
DEPARTMENT OF FINANCE,,2017,98627053
DEPARTMENT OF HEALTH AND MENTAL HYGIENE,ADMINISTRATION,2017,168937440
DEPARTMENT OF HEALTH AND MENTAL HYGIENE,BIOSTATISTICS,2017,8505821
DEPARTMENT OF HEALTH AND MENTAL HYGIENE,CHIEF MEDICAL EXAMINER,2017,75328137
DEPARTMENT OF HEALTH AND MENTAL HYGIENE,DISTRICT SERVICES,2017,6556334
DEPARTMENT OF HEALTH AND MENTAL HYGIENE,ENVIRONMENTAL HEALTH SERVICES,2017,98926753
DEPARTMENT OF HEALTH AND MENTAL HYGIENE,EPIDEMIOLOGY AND PREVENTION,2017,312603905
DEPARTMENT OF HEALTH AND MENTAL HYGIENE,LABORATORIES,2017,8374647
DEPARTMENT OF HEALTH AND MENTAL HYGIENE,LEGAL,2017,7229884
DEPARTMENT OF HEALTH AND MENTAL HYGIENE,MATERNAL & CHILD HEALTH,2017,126279839
DEPARTMENT OF HEALTH AND MENTAL HYGIENE,MENTAL HEALTH SERVICES,2017,365614613
DEPARTMENT OF HEALTH AND MENTAL HYGIENE,OFFICE OF THE COMMISSIONER,2017,2399530
DEPARTMENT OF HEALTH AND MENTAL HYGIENE,OPERATIONS SUPPORT,2017,13760025
DEPARTMENT OF HEALTH AND MENTAL HYGIENE,PRISON HEALTH SERVICES,2017,50129399
DEPARTMENT OF HEALTH AND MENTAL HYGIENE,,2017,286698547
DEPARTMENT OF HOMELESS SERVICES,BUREAU OF ADMINISTRATION,2017,55341437
DEPARTMENT OF HOMELESS SERVICES,CENTRAL OPERATIONS,2017,32077876
DEPARTMENT OF HOMELESS SERVICES,FAMILY SHELTER OPERATIONS,2017,690673274
